application_date,first_name,last_name,ssn,email_address,phone_number,agent_notes,gender,age,ethnicity,income,credit_score,loan_amount,debt_to_income,is_defaulted_leak,resolution_date,row_id_proxy,default
2025-07-28,GAIrGE,qWuvPSrC,251-95-3978,GAIrGE.qWuvPSrC@example.com,555-437-7272,Customer discussed UghaJPVrPt regarding their account.,Male,79,GroupC,14607.138626057073,471.2921060442484,3890.5004525736686,0.5447720429185858,0,2025-10-05,7858,0
2025-10-07,pApUTc,gbeSSdyx,473-65-5535,pApUTc.gbeSSdyx@example.com,555-402-4551,Customer discussed uloOoTAzbe regarding their account.,Male,52,GroupA,66576.20891238473,791.5193597578681,9914.448397527212,0.1642961993046938,0,2026-01-02,8468,0
2025-06-19,bIAGYY,STFvYKtk,784-96-3838,bIAGYY.STFvYKtk@example.com,555-449-1478,Customer discussed bjeYxhPHxV regarding their account.,Female,50,GroupA,30706.4144031593,612.5486453980405,13721.216110395808,0.07742683943944369,0,2025-08-19,7479,0
2025-04-21,cnSXlS,OXFkINZe,795-98-2877,cnSXlS.OXFkINZe@example.com,555-662-8318,Customer discussed XBUwjXSNwX regarding their account.,Female,27,GroupC,94558.79397506895,613.8689287965627,14664.60644546714,0.2316258719383667,0,2025-06-27,9314,0
2025-07-10,HUWUXm,ZBDqrvsj,689-42-2512,HUWUXm.ZBDqrvsj@example.com,555-921-6649,Customer discussed hqWTMUEwGz regarding their account.,Male,46,GroupA,43357.14955838714,737.037829396728,65679.34367426048,0.6578346221947003,0,2025-09-16,3204,0
2025-01-11,sAmOio,AKpgriRr,281-51-5551,sAmOio.AKpgriRr@example.com,555-201-7187,Customer discussed uFEvaoKFVL regarding their account.,Male,35,GroupA,32206.021580230572,677.9781411318854,11716.794725628532,0.4212058120984201,0,2025-02-26,9493,0
2025-01-20,caSvGq,yMvuvsvR,495-23-3200,caSvGq.yMvuvsvR@example.com,555-358-9550,Customer discussed IijggByaES regarding their account.,Male,60,GroupA,119832.55387076455,670.9185349390177,9718.688962727421,0.08048051465717056,0,2025-03-10,3676,0
2025-12-05,QhccpK,QwkxtzDU,363-32-5711,QhccpK.QwkxtzDU@example.com,555-890-2566,Customer discussed JxSBUeWrDy regarding their account.,Male,32,GroupA,40231.838503096966,674.4674915531342,22108.96136324086,0.747324887869209,0,2026-01-06,549,0
2025-08-28,RpMQwJ,GnPOiOjk,793-62-7567,RpMQwJ.GnPOiOjk@example.com,555-666-9118,Customer discussed grMNvfzayt regarding their account.,Female,37,GroupB,21207.384215001726,749.0795241878332,15088.817202098755,0.2664347043172694,0,2025-11-16,8497,0
2025-07-16,RJbaCO,zVpzVHLZ,690-48-1012,RJbaCO.zVpzVHLZ@example.com,555-787-5701,Customer discussed IqqiQMCDLC regarding their account.,Male,47,GroupA,30293.52198867541,554.7277913498356,3872.881748735922,0.18849528169203433,0,2025-08-15,2336,0
2025-03-25,HnbdXl,OdyhHibg,652-22-3537,HnbdXl.OdyhHibg@example.com,555-426-5376,Customer discussed feJZiRVUTi regarding their account.,Female,34,GroupA,137702.78945397894,823.8786263955582,9479.945048776357,0.3061348788045845,0,2025-05-22,1140,0
2025-08-13,OalvGk,wpgMxyks,207-78-5777,OalvGk.wpgMxyks@example.com,555-602-2741,Customer discussed DJtMHRqHwZ regarding their account.,Non-binary,43,GroupA,24067.14477579343,540.2699144114326,27942.65869342707,0.3194694225151686,0,2025-09-30,1471,0
2025-05-30,vDOcUB,pIGQfxMb,909-10-1190,vDOcUB.pIGQfxMb@example.com,555-403-1560,Customer discussed ovxdgoufxZ regarding their account.,Male,56,GroupA,127377.43217573105,762.7446401900104,38647.33385747961,0.364827341253995,0,2025-08-25,9183,0
2025-04-25,qOSmXz,fzKkRGFL,540-29-9423,qOSmXz.fzKkRGFL@example.com,555-790-5050,Customer discussed pPspUSJCiT regarding their account.,Female,79,GroupA,40953.87779400818,724.3065124123284,7959.895298338558,0.3134156338962809,0,2025-06-19,3276,0
2025-04-25,eCPVKQ,QFaPSvTy,947-13-2433,eCPVKQ.QFaPSvTy@example.com,555-970-2933,Customer discussed KDVzOLsriN regarding their account.,Female,29,GroupA,133786.42060588035,532.5876349071061,1033.681371362831,0.4762640542361355,0,2025-06-26,2755,0
2025-05-25,XNLVHw,vzeEYFVi,267-72-4534,XNLVHw.vzeEYFVi@example.com,555-518-2199,Customer discussed SOqxKajXWl regarding their account.,Male,36,GroupA,146049.10605452242,697.0897548802978,12649.672741936305,0.26357440478656213,0,2025-08-10,7575,0
2025-09-24,rCqUuH,GIRoptIs,659-92-4121,rCqUuH.GIRoptIs@example.com,555-689-2419,Customer discussed PNqIEKEdWp regarding their account.,Male,21,GroupA,31586.198243173592,639.3820992420361,4823.653268410824,0.3417471383851992,0,2025-11-08,5042,0
2025-04-18,cdpOSR,lFYfLRuu,433-73-1843,cdpOSR.lFYfLRuu@example.com,555-347-7386,Customer discussed sMqXvuYSkA regarding their account.,Female,74,GroupB,74670.3941554775,696.9500008288242,13520.377467913855,0.46315650898216654,0,2025-06-10,9222,0
2025-02-24,kynKMh,VGenWRyW,758-82-8565,kynKMh.VGenWRyW@example.com,555-929-3666,Customer discussed StcDTrAdVD regarding their account.,Male,47,GroupB,45821.207620671164,641.9307912235669,11085.04922649785,0.4148427105335267,0,2025-05-18,4488,0
2025-10-08,FhJTcO,DooylrUP,734-27-6354,FhJTcO.DooylrUP@example.com,555-163-9189,Customer discussed ugnqTKSvgE regarding their account.,Male,32,GroupA,57627.696184754255,520.6015391867948,34569.787196705736,0.16948852914375845,0,2025-11-27,9893,0
2025-02-20,tmOaCV,MXJUJCRx,155-45-2941,tmOaCV.MXJUJCRx@example.com,555-673-9930,Customer discussed otyylOelFW regarding their account.,Female,54,GroupB,113399.66599310623,614.390836907926,20564.156805107865,0.3146835316223927,0,2025-04-17,2610,0
2025-04-01,ANRzpr,BylaYcmO,929-52-9901,ANRzpr.BylaYcmO@example.com,555-225-3830,Customer discussed dJJlyfFnRx regarding their account.,Female,41,GroupA,162095.0645893094,648.5387160666633,9221.865937238153,0.3694808472415845,0,2025-06-11,7980,0
2025-08-27,JlqqhX,hNyvlqMJ,723-96-7920,JlqqhX.hNyvlqMJ@example.com,555-496-5445,Customer discussed SRFdObpnfk regarding their account.,Male,55,GroupA,81631.22402659328,735.0561056041208,6204.7710870450455,0.12697662850273964,0,2025-10-02,6201,0
2025-02-13,pVciht,qRAfIFgy,962-19-2081,pVciht.qRAfIFgy@example.com,555-716-8539,Customer discussed SrERXqmkAp regarding their account.,Male,61,GroupB,266931.93986204005,607.5101581760877,11499.039734002243,0.32272361325843507,0,2025-03-24,5636,0
2025-10-04,zxfwbv,WdbDQdRi,223-43-4473,zxfwbv.WdbDQdRi@example.com,555-685-4856,Customer discussed JMYZLBqAAF regarding their account.,Female,79,GroupA,61755.06839910665,507.7811082341444,19116.352166088538,0.40747817488931026,0,2025-11-28,4861,0
2025-05-03,JPLXFq,lziDrFNf,722-29-6224,JPLXFq.lziDrFNf@example.com,555-283-5062,Customer discussed HNJcoGDvmC regarding their account.,Male,50,GroupB,85715.7818540982,655.0171047186333,17577.444537536532,0.08966774998921255,0,2025-06-27,9047,0
2025-11-11,pjTMJB,SnLQPmrM,235-44-7170,pjTMJB.SnLQPmrM@example.com,555-491-4547,Customer discussed BtFjmOyGBM regarding their account.,Female,37,GroupA,60085.88694315163,645.2614598766396,15480.623469020114,0.10579293482417682,0,2025-12-31,807,0
2025-03-25,xXDsvf,yPpOhmxF,784-65-7586,xXDsvf.yPpOhmxF@example.com,555-669-3209,Customer discussed RREdLkXdNe regarding their account.,Male,39,GroupA,150280.05429997476,662.7168548889971,5172.116795768283,0.5613662278540092,0,2025-05-15,6859,0
2025-10-16,edtdRk,wOnbRgxh,382-35-4269,edtdRk.wOnbRgxh@example.com,555-113-7884,Customer discussed BxgavghBrT regarding their account.,Non-binary,74,GroupA,57487.42328205503,711.4121043885207,15667.61605509392,0.4021674772465968,0,2026-01-13,6402,0
2025-09-05,NwvjyR,ZUZzKpZm,853-76-9835,NwvjyR.ZUZzKpZm@example.com,555-678-8460,Customer discussed ByWTVjPYUP regarding their account.,Female,44,GroupA,94271.26850860463,502.9096081084735,20555.037700592522,0.043608018643062324,0,2025-12-01,10,0
2025-04-02,pokGwd,MABayYWy,744-87-7691,pokGwd.MABayYWy@example.com,555-538-8251,Customer discussed ervlsiOyEx regarding their account.,Male,22,GroupA,26953.981195246368,590.3528566778228,21678.086634844498,0.23064331108866631,0,2025-05-16,3805,0
2025-05-21,SkFBps,nnwfNkpO,830-70-5187,SkFBps.nnwfNkpO@example.com,555-929-4487,Customer discussed gIZvCjnEZU regarding their account.,Female,75,GroupA,30817.862994233525,610.917515032241,2904.773876924667,0.4808640192114934,0,2025-06-23,2378,0
2025-03-19,YOFEbc,bFoAtoXZ,100-54-4802,YOFEbc.bFoAtoXZ@example.com,555-123-6956,Customer discussed UflgIDBMdp regarding their account.,Female,35,GroupA,19509.428804345425,551.0469021124956,61818.93858190678,0.3189325612209752,0,2025-05-30,5545,0
2025-11-13,tOiUDt,iOysHXPb,941-87-6612,tOiUDt.iOysHXPb@example.com,555-148-7364,Customer discussed vTAkNHeTYC regarding their account.,Female,55,GroupC,73021.68471847504,500.2611304429324,6253.241282611732,0.19582195561872023,0,2026-01-06,5444,0
2025-06-18,LoeqrZ,PMYsStpe,800-69-4439,LoeqrZ.PMYsStpe@example.com,555-117-8467,Customer discussed AgUJDDlFoM regarding their account.,Male,26,GroupB,65745.80538839182,608.228011030929,10804.577131345104,0.29709964026992713,0,2025-08-16,497,0
2025-07-09,ooEuny,qYHfWOvr,913-58-2582,ooEuny.qYHfWOvr@example.com,555-655-8684,Customer discussed PEglwJIHVK regarding their account.,Female,25,GroupB,87913.68737513699,564.2204823467343,6695.171792994406,0.08593049856255007,0,2025-08-08,9644,0
2025-11-24,MFYBHp,MIEyoVVO,109-75-1647,MFYBHp.MIEyoVVO@example.com,555-864-1962,Customer discussed LWINXgSmBQ regarding their account.,Female,78,GroupB,52763.4350422816,625.757058881041,21436.066302209347,0.28937164323828224,0,2025-12-27,2899,0
2025-09-06,EtgQYq,jUfjZSNS,471-47-7944,EtgQYq.jUfjZSNS@example.com,555-558-9307,Customer discussed loLDpwhuOj regarding their account.,Non-binary,76,GroupC,77390.43511223128,717.7335530418598,5110.405303838205,0.20460810920521152,0,2025-10-06,9046,0
2025-08-25,WyKKmK,DIDuDzMT,348-24-5859,WyKKmK.DIDuDzMT@example.com,555-644-5253,Customer discussed cOnVnOcMjo regarding their account.,Male,53,GroupA,46644.351748021785,595.0034289063229,8793.530792473244,0.1362624903212399,0,2025-10-24,3149,0
2025-09-19,wNxkMs,GOliGLsp,258-21-6262,wNxkMs.GOliGLsp@example.com,555-206-2464,Customer discussed bydFWCRWeL regarding their account.,Male,52,GroupA,32718.474231912744,462.58148107919504,11534.643014414096,0.45434094536072933,0,2025-11-21,2547,0
2025-10-28,aYBKuw,QXkYOYyX,134-58-1277,aYBKuw.QXkYOYyX@example.com,555-881-3544,Customer discussed AGcVuvNsoS regarding their account.,Female,43,GroupA,55206.59366461317,650.602504963883,9289.848208316722,0.2650100834076016,0,2025-11-27,4778,0
2025-05-11,aNeXZL,cDsZhWaK,337-40-7921,aNeXZL.cDsZhWaK@example.com,555-905-4057,Customer discussed zWYMxSfazS regarding their account.,Female,24,GroupA,51821.51569692297,667.398121129315,15846.11154488575,0.7492491536161149,0,2025-07-03,4201,0
2025-04-01,LIFhVs,AlIHXpaW,862-61-1875,LIFhVs.AlIHXpaW@example.com,555-794-3109,Customer discussed uLMjJZJyov regarding their account.,Female,64,GroupA,175641.95574613192,745.5251052586211,77075.81319291527,0.5396741650549389,0,2025-06-07,8440,0
2025-12-31,aTHsEk,GFBXOiyp,310-28-7088,aTHsEk.GFBXOiyp@example.com,555-475-2861,Customer discussed XTSnWavdcR regarding their account.,Female,27,GroupB,35072.90561425895,660.9922920873156,6236.184745511143,0.09397028471201395,0,2026-03-30,7086,0
2025-01-13,NMjGCU,msQYbUmo,385-53-1016,NMjGCU.msQYbUmo@example.com,555-608-8203,Customer discussed zschJSGbQk regarding their account.,Female,47,GroupA,21133.642362615472,776.2278506589989,7676.891630320456,0.42900981460912035,0,2025-03-20,889,0
2025-12-22,wtjzUZ,QkPqrGAx,983-70-6185,wtjzUZ.QkPqrGAx@example.com,555-844-8433,Customer discussed GoDEhsfonk regarding their account.,Female,42,GroupA,53715.97525536946,616.4138807879095,38160.18141035353,0.39981288859371295,0,2026-03-10,5640,0
2025-08-20,BcyNql,NbGgImps,617-24-3970,BcyNql.NbGgImps@example.com,555-501-4168,Customer discussed MnaVqPXwsv regarding their account.,Male,45,GroupA,44460.47443458501,460.63738527049793,21609.85865583414,0.187998652096743,0,2025-09-22,9472,0
2025-01-07,xvyYfc,KgfeViCS,163-64-8838,xvyYfc.KgfeViCS@example.com,555-842-4697,Customer discussed NtrlJHAOgw regarding their account.,Female,50,GroupB,70489.29532975102,671.5971035217266,30106.29747849887,0.20755227930839043,0,2025-03-16,4247,0
2025-05-08,rvrTGw,VAANmtjt,794-84-2889,rvrTGw.VAANmtjt@example.com,555-427-1593,Customer discussed dZJilfJJgE regarding their account.,Female,53,GroupA,134286.07074448693,537.8864704307989,5358.4847464848945,0.17326330686660787,0,2025-07-23,5814,0
2025-07-13,RbMXUK,YyROFYSc,986-88-8892,RbMXUK.YyROFYSc@example.com,555-570-4853,Customer discussed XBGsnLzOeI regarding their account.,Male,32,GroupA,57632.963331045175,712.4434786669577,26757.261225899536,0.7409551376381056,0,2025-09-15,7863,0
2025-07-04,lLQcSL,CIqwbXal,570-42-2823,lLQcSL.CIqwbXal@example.com,555-920-2144,Customer discussed BQMIyRLgLb regarding their account.,Female,61,GroupA,96452.60182141156,640.2135158209032,34493.247668304066,0.30107519691968154,0,2025-08-24,450,0
2025-06-05,jDBWEf,FWuSoOij,640-90-5760,jDBWEf.FWuSoOij@example.com,555-364-9300,Customer discussed vyGuyngPNx regarding their account.,Female,42,GroupA,18141.00197209581,633.5004724020641,20880.884314170868,0.26198273222119267,0,2025-07-26,6774,0
2025-08-20,jrsNCq,ouVEqLrB,503-50-5325,jrsNCq.ouVEqLrB@example.com,555-247-6238,Customer discussed KsXrWWTJTJ regarding their account.,Female,76,GroupA,80987.27538647995,548.5308497108309,226211.419143476,0.10850418820841277,1,2025-10-27,1853,1
2025-06-30,nlwBlR,suHlCcsD,981-18-2812,nlwBlR.suHlCcsD@example.com,555-774-9115,Customer discussed RPlcjTSiEY regarding their account.,Female,33,GroupB,111664.46145374773,605.9492067876328,11829.488323496693,0.22652316406118644,0,2025-08-16,1686,0
2025-01-21,nXKfmG,erjgCkBL,361-69-4262,nXKfmG.erjgCkBL@example.com,555-946-8840,Customer discussed ENCwXEXzZD regarding their account.,Female,67,GroupB,56891.10862012777,633.8806480069302,30888.388391586035,0.07406010068171871,0,2025-03-18,3196,0
2025-05-22,floCRP,KWsvNnlc,990-95-8325,floCRP.KWsvNnlc@example.com,555-347-8644,Customer discussed lwDEMqxAiL regarding their account.,Female,58,GroupB,36098.413214013286,642.0419173144891,22717.237481641347,0.2275229412274282,0,2025-07-12,8297,0
2025-12-11,HMCBXw,CMjsAKjZ,896-11-5999,HMCBXw.CMjsAKjZ@example.com,555-153-3313,Customer discussed rSLsLXNDye regarding their account.,Male,66,GroupA,64240.81903181124,758.7541534149523,8316.3107495028,0.18385351345611387,1,2026-02-18,5409,1
2025-02-03,UvsUol,PBUNGxzF,516-93-4298,UvsUol.PBUNGxzF@example.com,555-201-4287,Customer discussed QdjPbMSLzO regarding their account.,Female,19,GroupB,29256.149257189612,550.3522048370911,1728.6613033749336,0.24332963787785117,0,2025-03-09,1860,0
2025-01-04,jTPlJf,DfxIsBun,353-86-7172,jTPlJf.DfxIsBun@example.com,555-480-4201,Customer discussed TVYaxqaxvi regarding their account.,Female,55,GroupA,78601.64534079502,671.7485903378347,8986.855188565547,0.07581970981981026,0,2025-02-26,5739,0
2025-06-29,VNwJTy,GwNPNVPW,207-64-7828,VNwJTy.GwNPNVPW@example.com,555-718-9675,Customer discussed PnBkpBeouh regarding their account.,Male,79,GroupB,37683.89617551149,781.458790869998,11336.513300790633,0.0833677993973225,0,2025-08-08,9587,0
2025-01-14,nGUONM,OMOksxjU,994-27-5722,nGUONM.OMOksxjU@example.com,555-684-7880,Customer discussed XIpIRvpPZD regarding their account.,Female,30,GroupA,29433.974181991423,520.071945761757,3017.1973328306717,0.33228012737937895,0,2025-03-16,4224,0
2025-01-26,HNlWyO,zWQMkzTB,439-28-5801,HNlWyO.zWQMkzTB@example.com,555-106-9790,Customer discussed CkzmEfFraL regarding their account.,Male,78,GroupA,30505.74595199515,702.1850087951311,15343.262137568157,0.46618671387805455,0,2025-03-25,3235,0
2025-05-30,WeQxDy,NjVPKONs,922-81-2297,WeQxDy.NjVPKONs@example.com,555-539-3194,Customer discussed bMlvNdmdJa regarding their account.,Female,60,GroupB,41608.12703256573,714.4572227821345,37834.777012758925,0.07462209957628632,0,2025-08-24,2896,0
2025-06-05,DmvHCo,SlqkLcGo,123-40-2554,DmvHCo.SlqkLcGo@example.com,555-608-1370,Customer discussed ZAbtrGIFpL regarding their account.,Female,71,GroupC,103386.56598980195,565.6325643474797,6683.4245944764225,0.2432965421010241,0,2025-07-06,9003,0
2025-09-02,Ravmgo,KAwsmeUA,171-92-9870,Ravmgo.KAwsmeUA@example.com,555-945-3015,Customer discussed TCmUSnlPqs regarding their account.,Female,42,GroupC,36471.92360849914,550.3129185070445,11698.494416434314,0.08194168841385918,0,2025-10-09,4838,0
2025-12-28,fjKovD,CitmSCai,646-92-1620,fjKovD.CitmSCai@example.com,555-111-2057,Customer discussed sgRyLkGSDI regarding their account.,Male,77,GroupA,63062.113865048785,698.354879999903,12926.81754820986,0.46125013531325604,0,2026-01-29,5656,0
2025-01-12,CGDkCT,MYnTHLWY,523-33-7553,CGDkCT.MYnTHLWY@example.com,555-150-1240,Customer discussed OtHWlZoibl regarding their account.,Male,55,GroupA,13787.296650054308,742.475840598804,8261.648142316511,0.22950083936412588,0,2025-02-17,2660,0
2025-08-18,MsNQbv,SsPvwZGh,508-14-2111,MsNQbv.SsPvwZGh@example.com,555-918-3138,Customer discussed zjLBKmSQzp regarding their account.,Female,19,GroupC,18162.619938398384,636.659489734404,18004.556056772708,0.29863833693748937,1,2025-11-09,6568,0
2025-04-05,NiWuDZ,TziQcRet,830-75-9399,NiWuDZ.TziQcRet@example.com,555-976-8046,Customer discussed NeXmtrXPjr regarding their account.,Male,44,GroupC,24877.24600252064,532.8290830275388,7629.7397100296785,0.34466698589896566,0,2025-05-23,5443,0
2025-02-23,AEjAsM,etvKgUPs,912-68-7713,AEjAsM.etvKgUPs@example.com,555-279-7431,Customer discussed HhLPdzAenA regarding their account.,Male,33,GroupA,75275.30992668546,649.2900605484418,64168.39630075807,0.16472140317200634,0,2025-04-27,8628,0
2025-06-10,FaRAGq,RnOJhpKe,791-29-5519,FaRAGq.RnOJhpKe@example.com,555-413-5168,Customer discussed MEfQtTBHiH regarding their account.,Female,39,GroupA,30528.106407119933,641.1285602208848,8768.921021135946,0.6237772507875713,0,2025-08-02,9001,0
2025-05-03,XpZfIr,VUYygxqE,607-39-5837,XpZfIr.VUYygxqE@example.com,555-144-3673,Customer discussed PMDdaGnUyj regarding their account.,Female,73,GroupA,191203.07478070792,705.6400384357785,79999.85167152321,0.16506743833663307,0,2025-07-03,3737,0
2025-06-20,ORxrXH,SJpVLeNn,582-86-1871,ORxrXH.SJpVLeNn@example.com,555-191-6843,Customer discussed DydfXKJpON regarding their account.,Male,70,GroupB,74212.85317315627,521.7469307426071,7354.537803048213,0.46244036554904394,0,2025-07-25,4045,0
2025-12-13,qCBeTQ,Xnnyphgr,172-67-2306,qCBeTQ.Xnnyphgr@example.com,555-292-1343,Customer discussed XZxThmwAKX regarding their account.,Male,44,GroupA,35703.42058830899,560.3134353653292,10455.851459127658,0.09571314471100661,0,2026-01-23,2457,0
2025-03-02,MuBAfv,DETbwKUj,224-21-4134,MuBAfv.DETbwKUj@example.com,555-247-7626,Customer discussed rddYdvZkWC regarding their account.,Male,68,GroupA,182163.24968548818,580.803044121015,16248.91452915616,0.4140272249461464,0,2025-04-08,3416,0
2025-01-10,dvgSau,YlARWujr,794-46-9260,dvgSau.YlARWujr@example.com,555-469-5395,Customer discussed iMBWyiUSwT regarding their account.,Male,75,GroupB,32796.43790711035,733.9408531975154,7741.722251182914,0.30884347196975065,0,2025-04-09,7628,0
2025-04-23,vlKSbn,wmwpZjaA,940-27-7821,vlKSbn.wmwpZjaA@example.com,555-561-6726,Customer discussed JzylCPoDWC regarding their account.,Female,24,GroupB,53601.23123553344,702.2194523121696,19702.696312354594,0.1671984028706633,0,2025-07-21,1490,0
2025-01-13,rsuWmj,wpMyVQjG,409-56-7566,rsuWmj.wpMyVQjG@example.com,555-375-3130,Customer discussed KuAjCSXgRg regarding their account.,Male,19,GroupA,16071.596829142329,614.4055760346854,34927.120837449635,0.14923339799351742,0,2025-04-10,4140,0
2025-03-26,ErfrEd,QSFFGcaE,195-47-3075,ErfrEd.QSFFGcaE@example.com,555-783-2117,Customer discussed VpeqJBwSWk regarding their account.,Male,28,GroupB,65878.22119870316,568.1143311863184,19445.206956555332,0.5495058837265376,0,2025-05-28,6351,0
2025-08-14,pTPdPT,DrXOFXJH,985-89-3575,pTPdPT.DrXOFXJH@example.com,555-821-8072,Customer discussed wszjNsYxhc regarding their account.,Male,62,GroupA,85779.60715661503,807.4375557439414,12116.232674781082,0.20971838653886293,0,2025-09-15,2470,0
2025-09-17,ZbRZXa,RgAVwnWI,217-34-3330,ZbRZXa.RgAVwnWI@example.com,555-294-3625,Customer discussed kBqyhXXaZS regarding their account.,Male,55,GroupC,51004.68579316242,560.4265553679686,110856.34464334259,0.07903594554077199,1,2025-11-02,2737,1
2025-02-25,SUfnjn,fItGYgHS,642-74-5363,SUfnjn.fItGYgHS@example.com,555-667-3760,Customer discussed DHJWKkCuDq regarding their account.,Female,21,GroupC,41173.205415237615,519.3332792292518,15901.508844885573,0.25976584232311395,1,2025-04-29,7598,1
2025-11-21,cDOxyF,HiIROZYb,289-19-4581,cDOxyF.HiIROZYb@example.com,555-899-5760,Customer discussed tWmeZoNTFU regarding their account.,Female,24,GroupA,24932.06095461144,602.0488828634722,42372.59889367309,0.10182992423633912,0,2025-12-26,2477,0
2025-02-08,OaeDmv,KHxeekAQ,237-86-8936,OaeDmv.KHxeekAQ@example.com,555-430-1693,Customer discussed njjsULpEtj regarding their account.,Female,62,GroupA,25957.37450143086,653.477582037809,34366.97004142298,0.35276926162733785,0,2025-04-17,4107,0
2025-06-22,ApLVth,rOGCMwSf,634-16-6322,ApLVth.rOGCMwSf@example.com,555-511-8373,Customer discussed rHxKBEMUZY regarding their account.,Female,19,GroupA,46558.32807230766,682.0513271232852,14666.81691419496,0.3545865039527669,0,2025-08-23,1134,0
2025-09-26,RgDNzI,lKjtYCSr,852-41-9903,RgDNzI.lKjtYCSr@example.com,555-630-6331,Customer discussed ddXaGefBaT regarding their account.,Male,64,GroupB,35499.525620811866,829.0505536341695,20708.73951495169,0.31177122867519336,0,2025-10-30,2290,0
2025-12-03,hDNugl,RbmVMIRr,553-70-2772,hDNugl.RbmVMIRr@example.com,555-436-4739,Customer discussed qltMLzHWTl regarding their account.,Female,67,GroupA,106807.00071386424,609.9795833452995,4059.256978345212,0.5146359698090348,0,2026-02-14,8155,0
2025-03-05,luzucO,VnwHhcpJ,687-97-3389,luzucO.VnwHhcpJ@example.com,555-436-1324,Customer discussed hklIUGCztU regarding their account.,Female,31,GroupC,46062.76067082673,718.4974156819509,4818.495129801024,0.42622765540952523,0,2025-05-07,7118,0
2025-08-21,dcMReb,gLzSCRKm,485-48-6159,dcMReb.gLzSCRKm@example.com,555-417-6160,Customer discussed avUnGWBbxL regarding their account.,Female,32,GroupA,19406.533790109064,688.0865991822564,3821.1309690350404,0.3033266129466012,0,2025-11-18,3089,0
2025-01-20,IvXUIo,VwuIxuyX,326-65-8175,IvXUIo.VwuIxuyX@example.com,555-906-6430,Customer discussed ZooppdXUrS regarding their account.,Non-binary,24,GroupB,158067.24308677725,735.8111639360966,56093.792149290595,0.3084756659109269,0,2025-02-23,5259,0
2025-05-15,PPigaY,TeJwuUAx,723-73-4613,PPigaY.TeJwuUAx@example.com,555-627-5044,Customer discussed esEtavaGWT regarding their account.,Female,22,GroupB,125420.51872732652,716.5643902422032,27218.60261661872,0.3270852302421457,0,2025-07-31,4848,0
2025-07-31,ceQMvQ,bWSekTYp,763-98-3558,ceQMvQ.bWSekTYp@example.com,555-373-3856,Customer discussed wjKuKdNIwE regarding their account.,Female,32,GroupA,35293.518334734516,694.8893516649595,9986.994339633944,0.16094831701501688,0,2025-09-13,8985,0
